mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2336430549621582,0.02808620204394949,1.517599630355835,0.18976601644561888,20,1,"{'n_neighbors': 20, 'p': 1}",-349.3854999420693,-371.5491078669911,-350.8983777520278,-347.33064889918893,-362.67110081112395,-356.3669470542802,9.279449335761072,15,-340.0324266388575,-337.12805248978884,-338.9851312206709,-340.07470743294135,-336.41213429117664,-338.52649041468703,1.5034162219833886
0.2279961109161377,0.026950611723871584,1.7505975246429444,0.18723650962078772,20,2,"{'n_neighbors': 20, 'p': 2}",-378.8807727957363,-402.911788900475,-379.24099073001156,-376.4750984936269,-394.64450753186554,-386.43063169034315,10.458491736602355,44,-367.05033023377075,-363.3067741374815,-366.3732127339088,-368.23825821215456,-365.2380148890563,-366.0413180412744,1.677964965198414
0.15686163902282715,0.047093539431883144,1.0376344203948975,0.22566282748031288,21,1,"{'n_neighbors': 21, 'p': 1}",-350.9402596399468,-372.0782671543882,-352.43186006731776,-348.1146167853004,-363.1681288969817,-357.346626508787,8.95921419917843,17,-341.3554620307032,-338.417595362933,-340.6988669750966,-341.8373211285557,-338.0802855873825,-340.0779062169342,1.5401559832194551
0.1387176036834717,0.01897821738191191,1.0088574886322021,0.09754114437993357,21,2,"{'n_neighbors': 21, 'p': 2}",-378.50889650264,-403.9052308676917,-380.11323732273905,-377.39819566296967,-395.25977487171,-387.0370670455501,10.636962227011695,46,-368.9047770784105,-365.15312970296895,-368.080612501069,-370.0424946410985,-367.1157219274942,-367.85934717020825,1.6603979282600745
0.1509267807006836,0.04125296332795402,0.9930252075195313,0.18167537853190877,22,1,"{'n_neighbors': 22, 'p': 1}",-352.1094837846663,-373.0505419155054,-352.80515643105446,-348.81046033919733,-364.16876645949645,-358.188881785984,9.061195617612503,18,-342.5485541080396,-340.1580421403573,-342.05478983099056,-343.37145877990844,-339.8186531908507,-341.5902996100293,1.3781598841056015
0.13290462493896485,0.01707135053106615,0.9734379291534424,0.09709690075168873,22,2,"{'n_neighbors': 22, 'p': 2}",-378.84166482341664,-404.1703373674177,-380.7835352364901,-378.8268882334351,-396.10889076161385,-387.74626328447465,10.45954544640807,47,-370.57479373556544,-366.7398395179746,-369.7527847854596,-371.53263136550606,-368.1574108210311,-369.35149204510736,1.7123919245603103
0.18559446334838867,0.04547477602345478,1.3364896297454834,0.41358204027783085,23,1,"{'n_neighbors': 23, 'p': 1}",-352.79372131799937,-373.83868562764155,-352.85558970225196,-350.0812685777621,-364.9633986598821,-358.90653277710743,9.07216046255383,19,-344.3088290303445,-341.824356440881,-343.5458774870719,-345.2910909993123,-341.4546325846404,-343.28495730845003,1.4576973977511274
0.20125465393066405,0.006758800414922682,1.8927332878112793,0.18070333141823566,23,2,"{'n_neighbors': 23, 'p': 2}",-379.5060172381658,-404.53239838197,-382.00962265101515,-379.1892689808051,-396.13131643911527,-388.27372473821424,10.244268857910834,48,-372.0489708217934,-368.0834640036374,-371.1387823265819,-372.9388480691582,-369.576137963693,-370.7572406369728,1.7388293147547347
0.23115153312683107,0.045698824405174705,1.5473892211914062,0.1110229515914875,24,1,"{'n_neighbors': 24, 'p': 1}",-353.4132584096088,-375.2791053566601,-353.9787900733874,-351.11191579760526,-366.0170818848976,-359.9600303044318,9.255123138829115,20,-345.70664957562065,-342.75900538802466,-344.6806239499449,-346.86739253229825,-342.77860494756965,-344.55845527869167,1.6168088123859916
0.2592638969421387,0.05498984908041858,1.7732869625091552,0.12856869698724746,24,2,"{'n_neighbors': 24, 'p': 2}",-380.3227464951917,-404.6969113273858,-382.97087195828504,-379.4331353804558,-396.1941579760525,-388.72356462747416,10.009364251610423,49,-373.56548550157873,-369.46357048366696,-372.856068835332,-374.7527241082981,-371.09125823146593,-372.3458214320683,1.8666768708965296
0.13540844917297362,0.016657596237237116,0.9317555904388428,0.1047173989140568,25,1,"{'n_neighbors': 25, 'p': 1}",-354.01403313636894,-376.6125130344109,-354.9301367323291,-352.4405144843569,-366.4550683661646,-360.8904531507261,9.299033250491421,21,-347.2995625850931,-344.0140528953391,-345.7876855338625,-347.96950234632993,-344.2530258965297,-345.8647658514309,1.5822353101428979
0.2180562973022461,0.08133994578279102,1.6387222290039063,0.39626618944154046,25,2,"{'n_neighbors': 25, 'p': 2}",-380.9943691345151,-405.4994044722512,-383.67592584009265,-380.8390961761298,-397.51633835457704,-389.70502679551316,10.013084394268144,50,-374.9853909214681,-371.1531079632687,-373.693751231099,-376.08805167719134,-372.20520943166684,-373.62510224493883,1.7915395168635628
0.24347834587097167,0.04627063287660546,1.7272286415100098,0.09350455685659533,26,1,"{'n_neighbors': 26, 'p': 1}",-355.48519201803873,-377.2614413161858,-356.2721989482128,-353.5762322845174,-366.3394865852572,-361.7869102304424,8.918811457550248,23,-348.86879892506903,-345.3347271337625,-347.15147642751776,-349.1972911365328,-345.58011836376363,-347.22648239732916,1.6047535055307771
0.22767877578735352,0.017596945425772746,1.926934003829956,0.0897418346751583,26,2,"{'n_neighbors': 26, 'p': 2}",-381.5463623967273,-406.2826573264529,-383.8927310812016,-381.8590382387022,-398.32594705410463,-390.3813472194377,10.08719164309353,52,-376.35855878138835,-372.3407401960457,-374.938689041102,-377.331523264986,-373.3081680355448,-374.8555358638134,1.8501378542691373
0.23714971542358398,0.03508465896754476,1.7141886711120606,0.10733317175516195,27,1,"{'n_neighbors': 27, 'p': 1}",-356.32091470453184,-377.99252908336445,-357.04993777091113,-354.38444701944127,-367.061130423587,-362.56179180036713,8.883127271144645,24,-350.0968202929618,-346.63962676502877,-348.6356569187228,-350.5338388617457,-346.78761154990804,-348.5387108776734,1.6180549113249274
0.2593719482421875,0.08143072895487441,1.910773468017578,0.19142561942975886,27,2,"{'n_neighbors': 27, 'p': 2}",-382.5950900500779,-406.8948664804301,-384.791845843526,-382.2870649328355,-399.14462469421915,-391.1426984002177,10.039709203505158,53,-377.20307552997804,-373.57166705826944,-376.57577025493134,-378.5248977034505,-374.4428770059672,-376.0636575105193,1.8141213868645696
0.24725680351257323,0.01684050338861681,1.8592073440551757,0.15965212295454026,28,1,"{'n_neighbors': 28, 'p': 1}",-357.2670688713441,-379.24254762732346,-358.9110370799537,-355.08449346134745,-367.61359874193016,-363.6237491563798,8.89271266349998,25,-351.0807789875314,-347.8842350618878,-350.00906150943086,-351.9906674418797,-348.16959371663614,-349.82686734347317,1.6004934268371718
0.22973175048828126,0.06844418805836056,1.7992495059967042,0.4098205867832851,28,2,"{'n_neighbors': 28, 'p': 2}",-383.994885545459,-407.16886803383153,-385.5984605197815,-384.06827512001325,-400.449921370634,-392.2560821179439,9.686502599606715,54,-378.4757735457093,-374.9122169942106,-377.4998448194525,-379.78175200907083,-375.9492114759118,-377.32375976887096,1.7380902797979076
0.2260819911956787,0.01697557757025162,1.8350289344787598,0.02616606332226756,29,1,"{'n_neighbors': 29, 'p': 1}",-357.8163596338779,-379.9827406421919,-359.868545970352,-355.4861509569664,-368.507380029568,-364.3322354465912,8.977800591579845,26,-352.20714627478134,-349.57357290764537,-350.9333947967213,-353.64525869560447,-349.60471183792845,-351.1928169025362,1.5655454936855304
0.25047740936279295,0.03343023302313896,2.025115442276001,0.159189348320231,29,2,"{'n_neighbors': 29, 'p': 2}",-384.20337276617164,-408.14795504576534,-386.36594877532264,-384.94811603468247,-400.6374355695848,-392.8605656383054,9.735685658190619,55,-379.68671143701636,-376.1825315724861,-378.5537208656549,-380.5806841814016,-376.93929707992305,-378.38858902729646,1.642242864009682
0.18695945739746095,0.05172323387370464,1.4524408817291259,0.3488403877725556,30,1,"{'n_neighbors': 30, 'p': 1}",-357.90980187695516,-380.6264318541691,-360.8506566241792,-356.64733874082657,-368.73529934337586,-364.95390568790117,8.892492566593107,27,-353.3253787549607,-350.58556530807334,-351.885401579669,-354.61926307861654,-350.71544136106445,-352.2262100164768,1.5508167044409051
0.19538435935974122,0.05207273296161718,1.4913508415222168,0.44703331231779275,30,2,"{'n_neighbors': 30, 'p': 2}",-384.54814042405286,-409.4730042868729,-387.20546929316333,-385.6575241405948,-401.8964233294709,-393.7561122948309,10.06548714599015,56,-380.48555661771104,-377.71562720276546,-379.84137072012055,-382.0642015719445,-378.15909564915137,-379.6531703523386,1.5828891616465242
